name,lat,lng,rating,user_ratings_total,price_level
Fatema Hotel,23.7033428,90.4548365,4.0,115,
China Moon Party Center,23.712325,90.4522383,3.9,62,
The Rooftop,23.7298276,90.411127,4.5,131,
Akash Restaurant,23.7298972,90.4103669,4.5,30,
Bird's Eye Roof Top Restaurant and Convention Hall,23.7304911,90.412155,4.1,1837,$$$
President Restora,23.7269884,90.4130417,4.1,93,
Grand Kacchi Ghor,23.7277656,90.40992299999999,0.0,0,
Khana Basmati,23.7299979,90.4108866,4.0,693,$$
Khabar Dabar Pitha Ghor And Restaurant,23.7270756,90.4119135,4.0,130,
Shabuj Chaya Restaurant,23.7302489,90.4088551,4.0,18,
Pakghor Catering And Cafe,23.7314144,90.4105543,4.2,12,
KFC,23.7300014,90.4111633,4.1,2398,$$
Jafran restaurant,23.7317795,90.41033379999999,4.2,12,
Manipura Restaurant,23.7304022,90.4135674,4.3,6,
Handi,23.7319788,90.4098794,4.1,699,$$
Radhuni Restaurant,23.7315374,90.4115755,4.0,349,$$
Super Supper,23.7354602,90.4105606,4.0,67,
Parjaton Hotel & Cafe,23.7290663,90.4100892,5.0,1,
Cafe Alaska - ক্যাফে আলাস্কা,23.7321817,90.4112193,4.4,64,
Weston Restaurant,23.7331476,90.4120098,4.2,607,$$
Cafe Paltan Restaurant,23.7306507,90.40990250000002,3.6,5,
Rahmania Rooftop Restaurant and Terrace 21,23.7311713,90.41573439999999,4.0,580,
Surma Restaurant,23.7309592,90.4098918,3.8,4,
Polton Retora,23.7307718,90.4099265,4.0,2,
Hotel Kasturi (Pvt.) Ltd.,23.7315188,90.410254,4.2,741,$$$
Al Faham Restaurant,23.7319898,90.41121629999999,4.5,17,
The Rajdhani Hotel & Restaurant,23.7247842,90.4110937,3.9,912,$$
Sohag Restaurant,23.730372,90.4131,3.7,3,
"Grand Nawab, Motijheel.",23.7291344,90.41582969999999,4.2,11,
Royal Hall,23.7315558,90.4079898,4.1,66,
"Khagrachari, Pankhaia Para, System Restaurant",23.7262923,90.417327,4.6,13,
Trust Cafe,23.7302935,90.41095709999999,5.0,2,
Polton Restaurant,23.7328228,90.41248619999999,4.3,13,
Bhoj Restaurant,23.733723,90.40676769999999,4.2,1958,$$
Pushpadum Restaurant & Party Center,23.7299915,90.41441239999999,3.9,457,
Koi-Pabda & Lobster Restaura,23.7291774,90.4156932,3.9,315,
Vharta Mela Restaurant,23.7321706,90.4102851,4.2,5,
Mukti Thai Chinese & Bangla Restaurant,23.7312548,90.4153312,4.0,45,
New Purnima Snacks Bar,23.726423,90.4116872,4.1,69,$
Zafran Restaurant,23.7317196,90.41071989999999,3.6,7,
Peking Garden,23.7307267,90.4099236,4.1,234,
Samia Restora,23.7308554,90.4123537,0.0,0,
FEAST Restaurant,23.7317768,90.40994549999999,3.9,8,
Zafran Restaurant,23.7325511,90.4154439,4.0,169,
Enjoy Restaurant,23.7337055,90.4081095,3.9,469,$$
